"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"261";"Very little about day-to-day life seems to have changed in Moscow, where people have the financial resources to weather significant price increases, unlike much of the rest of the country. GUM, the luxury mall next to Red Square, is full of shoppers though many Western stores like Prada, Gucci and Christian Dior are closed and restaurants and theaters do thriving business. Moscow's roads still teem with luxury cars like Lamborghinis and Porsches.";"莫斯科与该国其他大部分地区不同 ， 在这里 ， 人们有足够的财力来抵御物价的大幅上涨 ， 日常生活看上去几乎没有什么变化。红场旁边的豪华购物中心gum挤满了购物者 —— 尽管prada、gucci和christian dior等许多西方品牌都关门了 —— 餐馆和剧院生意兴隆。莫斯科的道路上仍然充斥着兰博基尼和保时捷等豪车。";"在莫斯科 ， 人们的日常生活似乎没有什么变化 ， 与该国其他地区不同 ， 人们有足够的财政资源来抵御价格的大幅上涨。 gum是红场旁边的豪华购物中心 ， 到处都是购物者 ， 尽管prada ， gucci和christian dior等许多西方商店已经关闭 ， 餐馆和剧院业务蓬勃发展。 莫斯科的道路仍然充斥着兰博基尼和保时捷等豪华轿车。";"在莫斯科 ， 人们的日常生活似乎没有什么变化 ， 与该国其他地区不同 ， 人们有足够的财政资源来度过大幅上涨。 gum是红场旁边的豪华购物中心 ， 到处都是购物者 ， 尽管prada ， gucci和christian dior等许多西方商店已经关闭 ， 餐馆和剧院业务蓬勃发展。 莫斯科的道路仍然充斥着兰博基尼和保时捷等豪华轿车。";"2.826521";"2.826521"
"262";"""A few stores closed because of sanctions, which is frustrating but not that bad,"" said Yuliya, 18, a recent high-school graduate who was hanging out on a bench in Gorky Park, where Muscovites sunbathe, dance and rollerblade. She and her friends said they don't really think about the fighting in Ukraine that often.";""" 一些商店因为制裁而关闭 ， 这令人感到无奈 ， 但还不是那么糟 ， "" 18 岁的尤莉亚说 ， 刚从高中毕业的她闲坐在高尔基公园的长椅上 ， 莫斯科人在这个公园里晒日光浴、跳舞和滑旱冰。她和她的朋友说 ， 她们并不太把乌克兰的战事放在心上。";"“ 由于制裁 ， 一些商店关闭 ， 这令人沮丧 ， 但并不是那么糟糕 ，” 18 岁的尤利娅说 ， 他是一名高中毕业生 ， 当时正在高尔基公园的长凳上闲逛 ， 莫斯科人在那里享受日光浴 ， 跳舞和轮滑。 她和她的朋友们说 ， 他们并不经常想到乌克兰的战斗。";"“ 有几家商店因制裁而关闭 ， 这令人沮丧 ， 但并不是那么糟糕 ，” 18 岁的尤利娅说 ， 他是一名高中毕业生 ， 当时正在高尔基公园的长凳上闲逛 ， 莫斯科人在那里享受日光浴 ， 跳舞和溜冰鞋。 她和她的朋友们说 ， 他们并不经常想到乌克兰的战斗。";"2.809462";"3.114248"
"263";"That detachment is exactly what President Vladimir V. Putin is counting on as he executes a domestic strategy of shielding Russians from the hardships of war no draft, no mass funerals, no feelings of loss or conflict. Much of Russia's effort on the battlefield has not gone as Mr. Putin had planned, but at home, he has mostly succeeded in making Russian life feel as normal as possible.";"这种脱节正是弗拉基米尔 · v · 普京总统希望的 ， 他执行了一项保护俄罗斯人免受战争苦难的国内战略 —— 没有征兵 ， 没有大规模葬礼 ， 没有损失或冲突的感受。俄罗斯在战场上的大部分行动并没有按照普京的计划进行 ， 但在国内 ， 他基本上成功地让俄罗斯人的生活尽可能正常。";"这种分离正是普京总统所依赖的 ， 因为他正在执行一项国内战略 ， 保护俄罗斯人免受战争的痛苦 ， 没有草案 ， 没有大规模葬礼 ， 没有损失或冲突的感觉。 俄罗斯在战场上的大部分努力并没有按照普京的计划进行 ， 但在国内 ， 他基本上成功地让俄罗斯的生活尽可能正常。";"这种分离正是普京总统所依赖的 ， 因为他正在执行一项国内战略 ， 保护俄罗斯人免受战争的痛苦 ， 没有草案 ， 没有大规模葬礼 ， 没有损失或冲突的感觉。 俄罗斯在战场上的大部分努力并没有按照普京的计划进行 ， 但在国内 ， 他基本上成功地让俄罗斯的生活感觉尽可能正常。";"14.947737";"14.947737"
"264";"Most museums and theaters are open, as long as their leadership didn't criticize the Kremlin, and on summer evenings, party boats with effusive revelers ply the nearby Moskva River and people picnic in the grass. The fall seasons in opera and ballet have just begun though a few anticipated premieres and ongoing productions have been canceled after their directors and stars spoke against the war or fled the country.";"大多数博物馆和剧院都是开放的 ， 只要他们的领导层没有批评克里姆林宫。在夏季的晚上 ， 人们在草地上野餐 ， 派对游船载着喧闹的狂欢者穿梭于附近的莫斯科河。歌剧和芭蕾舞剧的秋季演出季才刚刚开始 —— 尽管有一些备受期待的首演和正在制作中的作品被取消 ， 因为作品的导演和主演发表了反战言论或逃离了该国。";"大多数博物馆和剧院都是开放的 ， 只要他们的领导不批评克里姆林宫 ， 在夏天的晚上 ， 有热情洋溢的狂欢者的派对船只在附近的莫斯科河上行驶 ， 人们在草地上野餐。 歌剧和芭蕾舞的秋季刚刚开始 ， 尽管在他们的导演和明星反对战争或逃离该国后 ， 一些预期的首映和正在进行的制作已被取消。";"大多数博物馆和剧院都是开放的 ， 只要他们的领导不批评克里姆林宫 ， 在夏天的晚上 ， 有热情洋溢的狂欢者的派对船只在附近的莫斯科河上行驶 ， 人们在草地上野餐。 歌剧和芭蕾舞的秋季刚刚开始 ， 尽管在他们的导演和明星反对战争或逃离该国之后 ， 一些预期的首映式和正在进行的制作已被取消。";"7.141816";"7.141816"
"265";"""What Russians normally do is protect their everyday lives,"" said Greg Yudin, a professor of political philosophy at the Moscow School of Social and Economic Sciences, describing a coping mechanism that dates from the Soviet period but became widespread during Mr. Putin's tenure.";""" 俄罗斯人通常的做法是保护他们的日常生活 ， "" 莫斯科社会与经济科学学院政治哲学教授格雷格 · 尤丁说 ， 他描述了一种可以追溯到苏联时期、但在普京时代变得普遍的因应机制。";""" 俄罗斯人通常做的是保护他们的日常生活 ， "" 莫斯科社会经济学院政治哲学教授格雷格 · 尤丁 ( greg yudin ) 说 ， 他描述了一种应对机制 ， 这种机制可以追溯到苏联时期 ， 但在普京任职期间变得普遍。";""" 俄罗斯人通常做的是保护他们的日常生活 ， "" 莫斯科社会经济学院政治哲学教授格雷格 · 尤丁 ( greg yudin ) 说 ， 他描述了一种应对机制 ， 这种机制可以追溯到苏联时期 ， 但在普京任职期间变得普遍。";"5.401157";"5.401157"
"266";"""This is the thing that they always prioritize and that they excel at,"" he said of Russia's leadership, ""and they are doing that now with a considerable degree of success, I would say.""";""" 这是他们一直优先考虑和擅长的事情 ， "" 他谈到俄罗斯的领导层时说 ， "" 我觉得 ， 他们现在正在这样做并取得了相当大的成功。 """;""" 这是他们一直优先考虑的事情 ， 他们擅长 ， "" 他谈到俄罗斯的领导 ， "" 我会说 ， 他们现在正在这样做 ， 取得了相当大的成功。";""" 这是他们一直优先考虑的事情 ， 他们擅长 ， "" 他谈到俄罗斯的领导 ， "" 我会说 ， 他们现在正在这样做 ， 取得了相当大的成功。";"8.889176";"8.889176"
"267";"But while many Muscovites embrace revelry and willful ignorance, many of the capital's intelligentsia, whose work and life tied them to the West or to Ukraine, are struggling to reconcile the feeling of normalcy with the enormity of being engaged in Europe's biggest land war since World War II.";"但是 ， 尽管许多莫斯科人尽情狂欢并愿意对一些事情视若无睹 ， 但首都的许多知识分子的工作和生活将他们与西方或乌克兰联系在一起 ， 被卷入欧洲自二战以来最大的战争所带来的艰巨负担使他们难以说服自己一切如常。";"但是 ， 虽然许多莫斯科人拥抱狂欢和故意无知 ， 但许多首都的知识分子 ， 他们的工作和生活将他们与西方或乌克兰联系在一起 ， 正在努力调和正常感与自二战以来参与欧洲最大土地战争的巨大程度。";"但是 ， 虽然许多莫斯科人拥抱狂欢和故意无知 ， 但许多首都的知识分子 ， 他们的工作和生活将他们与西方或乌克兰联系在一起 ， 正在努力调和正常感与自二战以来参与欧洲最大土地战争的巨大程度。";"11.339582";"11.339582"
"268";"That was evident on Saturday in the outpouring of sympathy and appreciation for the former Soviet leader Mikhail S. Gorbachev, expressed by thousands of Russians attending his funeral, who represented a silent protest against Mr. Putin and his policies.";"这在周六得以体现 ， 数千名俄罗斯人参加了米哈伊尔 · s · 戈尔巴乔夫的葬礼 ， 表达了对这位前苏联领导人的哀悼和赞赏 ， 他们代表了对普京及其政策的无声抗议。";"这在周六对前苏联领导人米哈伊尔 · 戈尔巴乔夫 ( mikhail s . gorbachev ) 表示的同情和赞赏中显而易见 ， 成千上万的俄罗斯人参加了他的葬礼 ， 他们代表着对普京及其政策的无声抗议。";"这在周六对前苏联领导人米哈伊尔 · 戈尔巴乔夫 ( mikhail s . gorbachev ) 表示的同情和赞赏中显而易见 ， 成千上万的俄罗斯人参加了他的葬礼 ， 他们代表着对普京及其政策的无声抗议。";"4.016138";"4.016138"
"269";"As soon as Russian tanks rolled into Ukraine, said Anya, she started reading books about the rise of totalitarianism in Nazi Germany and grappling with the concept of collective guilt.";"安雅说 ， 俄罗斯坦克一开进乌克兰 ， 她就开始阅读有关纳粹德国极权主义兴起的书籍 ， 奋力去理解集体罪责这个概念。";"安雅说 ， 一旦俄罗斯坦克进入乌克兰 ， 她就开始阅读有关纳粹德国极权主义崛起的书籍 ， 并努力解决集体内疚的概念。";"安雅说 ， 一旦俄罗斯坦克进入乌克兰 ， 她就开始阅读有关纳粹德国极权主义崛起的书籍 ， 并努力解决集体内疚的概念。";"15.619700";"15.619700"
"270";"""It was the end of the world for so many people,"" said Anya, 34. Like several others interviewed for this article, she did not want to provide her last name for fear of retribution.";""" 这对于太多人来说是世界末日 ， "" 34 岁的安雅说。和本文其他几位接受采访的人一样 ， 她不想透露自己的姓氏 ， 以免遭到报复。";"“ 对于这么多人来说 ， 这是世界末日 ，” 34 岁的anya说。 像本文采访的其他一些人一样 ， 由于害怕报复 ， 她不想提供自己的姓氏。";"“ 对于这么多人来说 ， 这是世界末日 ，” 34 岁的anya说。 像本文采访的其他一些人一样 ， 由于害怕报复 ， 她不想提供自己的姓氏。";"4.789232";"4.789232"
"271";"""In your name, someone is killing civilians,'' she said. ""And your country is turning into something like North Korea.""";""" 有人在以你的名义杀害平民 ， "" 她说。 "" 而你的国家正在变得像朝鲜一样。 """;""" 以你的名义 ， 有人在杀平民 ， "" 她说。 “ 你的国家正在变成像朝鲜这样的东西。";""" 以你的名义 ， 有人在杀害平民 ， "" 她说。 “ 你的国家正在变成像朝鲜这样的东西。";"19.070828";"19.070828"
"272";"She said she went to a protest and signed an antiwar petition, and several days later, she was invited to resign from her job at a public institution.";"她说她参加了抗议并签署了一份反战请愿书 ， 几天后 ， 她被促请辞去在公共机构的工作。";"她说她参加了抗议活动并签署了一份反战请愿书 ， 几天后 ， 她被邀请辞去公共机构的工作。";"她说她参加了抗议活动并签署了一份反战请愿书 ， 几天后 ， 她被邀请辞去公共机构的工作。";"39.763536";"39.763536"
"273";"For many years, Mr. Putin has been cracking down on dissent and protesters, but today it is almost impossible to express disenchantment with the system, and people expressing their views do so with the knowledge that a new law punishes criticism of the war. Almost 16,500 people have been arrested on charges of protesting the aggression in Ukraine since Feb. 24, according to OVD-Info, a Russian human rights organization.";"多年来 ， 普京一直在镇压异议人士和抗议者 ， 但在今天表达对体制的失望几乎是不可能的事 ， 人们在表达自己观点的同时知道批评战争会受到新法律的惩罚。据俄罗斯人权组织ovd - info称 ， 自2月24日以来 ， 已有近16500人因抗议乌克兰的侵略而被捕。";"多年来 ， 普京一直在打击持不同政见者和抗议者 ， 但今天几乎不可能表达对制度的失望 ， 表达自己观点的人这样做是因为知道一项新法律会惩罚对战争的批评。 据俄罗斯人权组织ovd - info称 ， 自2月24日以来 ， 已有近16 , 500 人因抗议乌克兰侵略而被捕。";"多年来 ， 普京一直在打击持不同政见者和抗议者 ， 但今天几乎不可能表达对制度的失望 ， 表达自己观点的人这样做是因为知道一项新法律会惩罚对战争的批评。 据俄罗斯人权组织ovd - info称 ， 自2月24日以来 ， 已有近16 , 500 人因抗议乌克兰侵略而被捕。";"26.220676";"26.220676"
"274";"Russians who oppose the fighting feel despised and threatened by their government, spurned by the West which they believe blames them for not protesting the invasion and powerless to bring about any change.";"反对这场战争的俄罗斯人感到被他们的政府蔑视和威胁 ， 还被西方唾弃 —— 他们认为西方指责他们没有抗议入侵 —— 并且无力带来任何改变。";"反对战斗的俄罗斯人感到被他们的政府鄙视和威胁 ， 被西方唾弃 ， 他们认为他们指责他们没有抗议入侵并无力带来任何改变。";"反对战斗的俄罗斯人感到被他们的政府鄙视和威胁 ， 被西方唾弃 ， 他们认为他们指责他们没有抗议入侵并无力带来任何改变。";"7.160476";"7.160476"
"275";"""We all have this feeling of impotence,"" said Anya. ""The fact that you exist and have your opinion doesn't mean anything. There are five, 10, 20 million of us. And it doesn't make any difference.""";""" 我们都有这种无能的感觉 ， "" 安雅说。 "" 你的存在和你的观点都不构成任何意义。无论我们有500万、1000万还是2000万人。没有任何区别。 """;"“ 我们都有这种无能为力的感觉 ，” 安雅说。 “ 你存在并有你的意见的事实并不意味着什么。 我们有五千万 ， 一千万 ， 两千万。 也没有什么区别。 ”";"“ 我们都有这种无能为力的感觉 ，” 安雅说。 “ 你存在并有你的意见的事实并不意味着什么。 我们有五千万 ， 一千万 ， 两千万。 也没有什么区别。 ”";"3.673527";"3.673527"
"276";"Muscovites like Anya spent the first months after the conflict started anxious and uncertain. Tens of thousands of them fled. But over the summer, the capital largely returned to normal, buoyed by a soaring ruble, a silenced opposition and a news media almost completely under the Kremlin's control.";"冲突后的头几个月 ， 像安雅这样的莫斯科人开始焦虑不安。数以万计的人逃离。但在整个夏天 ， 卢布飙升 ， 反对派被噤声 ， 新闻媒体几乎完全在克里姆林宫的掌控之中 ， 首都在这些因素的驱动下基本恢复了正常。";"像安雅这样的莫斯科人在冲突开始后的头几个月里感到焦虑和不确定。 成千上万的人逃跑了。 但在夏季 ， 首都基本恢复正常 ， 受到飙升的卢布 ， 沉默的反对派和几乎完全在克里姆林宫控制下的新闻媒体的推动。";"像安雅这样的莫斯科人在冲突开始后的头几个月里感到焦虑和不确定。 成千上万的人逃跑了。 但在夏季 ， 首都基本恢复正常 ， 受到飙升的卢布 ， 沉默的反对派和几乎完全在克里姆林宫控制下的新闻媒体的推动。";"5.024351";"5.024351"
"277";"Still, society is changing slowly: While Mr. Putin has sought to infuse a sense of normalcy, he is also working to further militarize Russian society.";"尽管如此 ， 社会正在缓慢地发生变化 : 普京试图注入一种正常感的同时 ， 也在努力让俄罗斯社会进一步军事化。";"尽管如此 ， 社会仍在缓慢变化 ： 在普京试图灌输一种正常感的同时 ， 他也在努力使俄罗斯社会进一步军事化。";"尽管如此 ， 社会仍在缓慢变化 ： 在普京试图灌输一种正常感的同时 ， 他也在努力使俄罗斯社会进一步军事化。";"14.535768";"14.535768"
"278";"Along Moscow's artery roads there are billboards of soldiers listing their rank and title, with a QR code to scan for more information. And there is no shortage of events celebrating Russia's military might.";"莫斯科的交通干道上有士兵的宣传广告牌 ， 上面列出他们的军衔和头衔 ， 并有二维码可供扫描 ， 以获取更多信息 ， 也不乏各种赞美俄罗斯军事力量的活动。";"沿着莫斯科的动脉公路 ， 有一些士兵的广告牌 ， 上面列出了他们的军衔和头衔 ， 还有一个二维码可以扫描以获取更多信息。 庆祝俄罗斯军事力量的活动不乏。";"沿着莫斯科的动脉公路 ， 有一些士兵的广告牌 ， 上面列出了他们的军衔和头衔 ， 还有一个二维码可以扫描以获取更多信息。 庆祝俄罗斯军事力量的活动不乏。";"6.413885";"6.413885"
"279";"Thousands of spectators gathered at the Alabino army training ground southwest of Moscow over two weeks to watch the Army International Games, a festival that includes a Tank Biathlon, in which international teams compete to drive a tank through natural obstacles and fire accurately at targets. (Since 2013, when the competition started, Russia has always come in first place.)";"两周以来 ， 数以千计的观众聚集在莫斯科西南的阿拉比诺陆军训练场 ， 观看国际陆军运动会。这个节日还包括坦克冬季两项比赛 ， 其中各国参赛队要驾驶坦克穿过自然障碍物 ， 并精确射击目标。 ( 自2013年该项比赛开始以来 ， 俄罗斯一直是第一名。 )";"成千上万的观众聚集在莫斯科西南部的阿拉比诺军队训练场 ， 为期两周 ， 观看陆军国际运动会 ， 这个节日包括坦克双项 ， 国际团队竞争驾驶坦克穿过天然障碍物并精确射击目标。 （ 自2013年比赛开始以来 ， 俄罗斯一直排在第一位。";"成千上万的观众聚集在莫斯科西南部的阿拉比诺军队训练场 ， 为期两周 ， 观看陆军国际运动会 ， 这个节日包括坦克双项 ， 国际团队竞争驾驶坦克穿过天然障碍物并精确射击目标。 （ 自2013年比赛开始以来 ， 俄罗斯一直排在第一位。";"4.277213";"4.277213"
"280";"""I've been seeing tanks on TV for all this time; I wanted to see them in real life,"" said Ilya, 34, who drove out to the event from Moscow with his children, 11 and 4.";""" 我在电视上总能看到坦克 ， 我想在现实生活里看到它们 ， "" 34 岁的伊利亚说 ， 他带着11岁和四岁的孩子从莫斯科开车来参加活动。";"“ 我一直在电视上看到坦克 ; 我想在现实生活中看到它们 ，” 34 岁的伊利亚说 ， 他和11岁和4岁的孩子从莫斯科开车去参加活动。";"“ 我一直在电视上看到坦克 ; 我想在现实生活中看到它们 ，” 34 岁的伊利亚说 ， 他和11岁和4岁的孩子从莫斯科开车去参加活动。";"15.881076";"15.881076"
"281";"""I think every war is bad; I am not saying I support the 'Special Military Operation,' or don't,"" he said, using Mr. Putin's term for the hostilities in Ukraine. ""But I trust the leadership in my country, and if they say it is necessary, then it is.""";""" 我认为所有战争都是不好的 ; 我并不是说我支持 ' 特别军事行动 '， 也不是说我不支持 ， "" 他说 ， "" 特别军事行动 "" 是普京对乌克兰战事的说法。 "" 但我相信我们国家的领导层 ， 如果他们说有必要 ， 那就是有必要的。 """;""" 我认为每场战争都是坏事 ； 我并不是说我支持 ' 特别军事行动 ' ， 也不是说不支持 ， "" 他用普京的话来形容乌克兰的敌对行动。 “ 但我相信我国家的领导人 ， 如果他们说这是必要的 ， 那就是必要的。";""" 我认为每场战争都是坏事 ； 我并不是说我支持 ' 特别军事行动 ' ， 也不是说不支持 ， "" 他用普京的话来形容乌克兰的敌对行动。 “ 但我相信我国家的领导人 ， 如果他们说这是必要的 ， 那就是必要的。";"8.819885";"8.819885"
"282";"Others said that seeing the weapons on display at the army festival including Kinzhal missiles being used in Ukraine made them feel as if they had come from a strong country.";"其他人说 ， 看到军事节上展示的武器 —— 包括在乌克兰使用的 "" 匕首 "" 导弹 —— 让他们感觉自己的国家很强大。";"其他人说 ， 看到在军队节日上展示的武器 ， 包括乌克兰使用的kinzhal导弹 ， 让他们觉得他们来自一个强大的国家。";"其他人说 ， 看到在军队节日上展示的武器 ， 包括乌克兰使用的kinzhal导弹 ， 让他们觉得他们来自一个强大的国家。";"7.417318";"7.417318"
"283";"Andrei Yevgenyevich, 55, who was a tank driver in Soviet-controlled Germany in the last days of the Cold War, said the weapons display brought him back to the days when the Soviet Union was a strong and feared global power.";"在冷战的最后日子里 ， 现年55岁的安德烈 · 叶夫根耶维奇曾在苏联控制下的德国担任坦克驾驶员。他说 ， 武器展示让他回想起苏联还是一个强大的、令人畏惧的全球大国的时候。";"55 岁的安德烈 · 叶夫根耶维奇 （ andrei yevgenyevich ） 在冷战的最后几天是苏联控制的德国的坦克司机 ， 他说 ， 武器展示使他回到了苏联是一个强大而令人恐惧的全球大国的时代。";"55 岁的安德烈 · 叶夫根耶维奇 （ andrei yevgenyevich ） 在冷战的最后几天是苏联控制的德国的坦克司机 ， 他说 ， 武器展示使他回到了苏联是一个强大而令人恐惧的全球大国的时代。";"4.065425";"4.065425"
"284";"""When you see this, you trust that all is well in your country, that everything is as it should be,"" he said.";""" 看到这些 ， 你就会相信你的国家一切都很好 ， 一切都像它应该的那样 ， "" 他说。";"“ 当你看到这一点时 ， 你相信你的国家一切都很好 ， 一切都应该是这样 ，” 他说。";""" 当你看到这一点时 ， 你相信你的国家一切都很好 ， 一切都应该是这样 ， "" 他说。";"6.413885";"21.105341"
"285";"""We were raised in the Soviet tradition, and we love our motherland. This brings pride to our country.""";""" 我们是在苏联的传统中长大的 ， 我们热爱祖国。这给我们的国家带来了自豪感。 """;""" 我们是在苏联传统中长大的 ， 我们热爱我们的祖国。 这为我们的国家带来了骄傲 ” 。";""" 我们是在苏联传统中长大的 ， 我们热爱我们的祖国。 这为我们的国家带来了骄傲 ” 。";"7.809850";"7.809850"
"286";"As for the sanctions, he said: ""I don't feel any difference. I think America and the West are suffering far more.""";"至于制裁 ， 他说 : "" 我没有感觉到任何不同。我认为美国和西方国家遭受的痛苦要大得多。 """;"至于制裁 ， 他说 ： “ 我感觉不到任何区别。 …… 我认为美国和西方遭受的苦难要大得多。";"至于制裁 ， 他说 ： “ 我感觉不到有什么区别。 我认为美国和西方遭受的苦难要大得多。";"20.556681";"24.446151"
"287";"This is a common refrain on Russian television. State-run media produce daily segments about the uncertainty countries like Germany are facing over gas prices and soaring inflation in Europe and the United States.";"这是俄罗斯电视台经常重复的一句话。国有媒体每天都会制作节目 ， 报道德国等国家因天然气价格和欧美通货膨胀飙升而面临不确定性。";"这是俄罗斯电视台的一个常见说法。 国营媒体每天都在报道德国等国家因天然气价格以及欧洲和美国通货膨胀飙升而面临的不确定性。";"这是俄罗斯电视台的一个常见说法。 国营媒体每天都在报道德国等国家因天然气价格和欧洲和美国通货膨胀飙升而面临的不确定性。";"30.326533";"30.326533"
"288";"At the army training grounds, children scrambled over tanks, including one that said, ""Smash the Fascists,"" and people of all ages shot automatic rifles. But booths inviting visitors to sign a contract to join the army stood empty, save for the recruiters, indicating that even if nationalism is rising, people are not ready to fight Mr. Putin's war.";"在陆军训练场 ， 孩子们争先恐后地爬上坦克 ， 其中一辆坦克上写着 "" 粉碎法西斯 "" ， 各个年龄段的人在用自动步枪射击。但邀请参观者签署参军合同的摊位前面空无一人 ， 只有招募人员。这表明 ， 即使民族主义情绪高涨 ， 人们也没有准备好参与普京的战争。";"在军队训练场上 ， 孩子们争先恐后地抢过坦克 ， 包括一辆上面写着 “ 粉碎法西斯 ” 的坦克 ， 所有年龄段的人都用自动步枪射击。 但是 ， 除了招募人员之外 ， 邀请游客签署参军合同的摊位是空的 ， 这表明即使民族主义正在抬头 ， 人们也没有准备好与普京的战争作斗争。";"在军队训练场上 ， 孩子们争先恐后地抢过坦克 ， 包括一辆上面写着 “ 粉碎法西斯 ” 的坦克 ， 所有年龄段的人都用自动步枪射击。 但是 ， 除了招募人员之外 ， 邀请游客签署参军合同的摊位是空的 ， 这表明即使民族主义正在抬头 ， 人们也没有准备好与普京的战争作斗争。";"3.114248";"3.114248"
"289";"""Not a lot of people are coming right now,"" one military recruiter said, declining to give his name, as the sounds of shots from the nearby firing range could be heard.";""" 现在来的人不多 ， "" 一名拒绝透露姓名的征兵人员说 ， 与此同时 ， 可以听到附近靶场传来的枪声。";"“ 现在没有很多人来 ，” 一名军事招募人员说 ， 拒绝透露他的名字 ， 因为可以听到附近射击场的枪声。";"“ 现在没有很多人来 ，” 一名军事招募人员说 ， 拒绝透露他的名字 ， 因为可以听到附近射击场的枪声。";"5.795600";"5.795600"
"290";"WASHINGTON Russia is buying millions of artillery shells and rockets from North Korea, according to newly declassified American intelligence, a sign that global sanctions have severely restricted its supply chains and forced Moscow to turn to pariah states for military supplies.";"华盛顿 —— 根据最新解密的美国情报 ， 俄罗斯正在从朝鲜购买数百万枚炮弹和火箭 ， 这一迹象表明全球制裁对其供应链造成了严重限制 ， 迫使莫斯科转向被孤立的国家寻求军事物资。";"根据新解密的美国情报 ， 华盛顿俄罗斯正在从朝鲜购买数百万枚炮弹和火箭 ， 这表明全球制裁严重限制了其供应链 ， 并迫使莫斯科向贱民国家寻求军事供应。";"根据新解密的美国情报 ， 华盛顿俄罗斯正在从朝鲜购买数百万枚炮弹和火箭 ， 这表明全球制裁严重限制了其供应链 ， 并迫使莫斯科向贱民国家寻求军事供应。";"6.495033";"6.495033"
"291";"The disclosure comes days after Russia received initial shipments of Iranian-made drones, some of which American officials said had mechanical problems. U.S. government officials said Russia's decision to turn to Iran, and now North Korea, was a sign that sanctions and export controls imposed by the United States and Europe were hurting Moscow's ability to obtain supplies for its army.";"这一消息披露的前几天 ， 俄罗斯收到伊朗制造的第一批无人机 ， 美国官员称其中一些无人机存在机械问题。美国政府官员表示 ， 俄罗斯决定转向伊朗、现在转向朝鲜 ， 这表明美国和欧洲实施的制裁和出口管制正在损害莫斯科为其军队获取物资的能力。";"此前几天 ， 俄罗斯收到了伊朗制造的无人机的首批货物 ， 其中一些美国官员表示存在机械问题。 美国政府官员表示 ， 俄罗斯决定转向伊朗 ， 现在转向朝鲜 ， 表明美国和欧洲实施的制裁和出口管制正在损害莫斯科为其军队获得供应的能力。";"此前几天 ， 俄罗斯收到了伊朗制造的无人机的首批货物 ， 其中一些美国官员表示存在机械问题。 美国政府官员表示 ， 俄罗斯决定转向伊朗 ， 现在转向朝鲜 ， 表明美国和欧洲实施的制裁和出口管制正在损害莫斯科为其军队获得供应的能力。";"4.789232";"4.789232"
"292";"The United States provided few details from the declassified intelligence about the exact weaponry, timing or size of the shipment, and there is no way yet to independently verify the sale. A U.S. official said that, beyond short-range rockets and artillery shells, Russia was expected to try to purchase additional North Korean equipment going forward.";"在解密情报中 ， 美国几乎没有提供有关这批货物的确切武器、运输时间或规模的详细信息 ， 而且目前还没有办法独立核实这笔交易。一位美国官员表示 ， 除了短程火箭和炮弹外 ， 预计俄罗斯未来还将尝试购买更多的朝鲜武器设备。";"美国从解密的情报中几乎没有提供关于这批货物的确切武器、时间或规模的细节 ， 也没有办法独立核实销售情况。 一位美国官员表示 ， 除了短程火箭弹和炮弹 ， 俄罗斯预计还将尝试购买更多的朝鲜设备。";"美国从解密的情报中几乎没有提供关于这批货物的确切武器、时间或规模的细节 ， 也没有办法独立核实销售情况。 一位美国官员表示 ， 除了短程火箭弹和炮弹 ， 俄罗斯预计还将尝试购买更多的朝鲜设备。";"6.413885";"6.413885"
"293";"""The Kremlin should be alarmed that it has to buy anything at all from North Korea,"" said Mason Clark, who leads the Russia team at the Institute for the Study of War.";""" 克里姆林宫应该为不得不从朝鲜买东西而担忧 ， "" 战争研究所俄罗斯研究团队的负责人梅森 · 克拉克说。";"“ 克里姆林宫应该感到震惊的是 ， 它必须从朝鲜购买任何东西 ，” 战争研究所俄罗斯团队负责人梅森克拉克说。";"“ 克里姆林宫应该感到震惊的是 ， 它必须从朝鲜购买任何东西 ，” 战争研究所俄罗斯团队负责人梅森克拉克说。";"6.870636";"6.870636"
"294";"Before Russia's invasion of Ukraine, the White House began declassifying intelligence reports about Moscow's military plans then disclosing that material, first to allies privately and then to the public. After something of a lull in the disclosures, the American government has once again begun declassifying information to highlight the struggles of Russia's military, including the recent intelligence about the purchase of Iranian drones and the Russian army's problems recruiting soldiers.";"在俄罗斯入侵乌克兰之前 ， 白宫开始解密有关莫斯科军事计划的情报报告 —— 然后将这些材料公开 ， 首先是私下向盟友披露 ， 然后再向公众披露。经过一段平静期后 ， 美国政府再次开始解密信息 ， 以强调俄罗斯军方的挣扎 ， 包括最近有关购买伊朗无人机的情报 ， 以及俄罗斯军队在招募士兵上的困难。";"在俄罗斯入侵乌克兰之前 ， 白宫开始解密有关莫斯科军事计划的情报报告 ， 然后披露这些材料 ， 首先是私下向盟友披露 ， 然后向公众披露。 在披露有所缓和之后 ， 美国政府再次开始解密信息 ， 以突出俄罗斯军方的斗争 ， 包括最近有关购买伊朗无人机的情报以及俄罗斯军队招募士兵的问题。";"在俄罗斯入侵乌克兰之前 ， 白宫开始解密有关莫斯科军事计划的情报报告 ， 然后披露这些材料 ， 首先是私下向盟友披露 ， 然后向公众披露。 在披露有所缓和之后 ， 美国政府再次开始解密信息 ， 以突出俄罗斯军方的斗争 ， 包括最近有关购买伊朗无人机的情报以及俄罗斯军队招募士兵的问题。";"20.497209";"20.497209"
